image,mode,gt,size,anchor,x,y,stride,inside_gt,inside_fixed,before_conflict,after_conflict,iou,rank_ciou,class_score,alignment,target_weight
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,10916,264.0,296.0,16.0,1,1,1,1,0.7183511853218079,0.7158247232437134,0.5701383352279663,0.10158515721559525,0.44951727986335754
images/train/0000084_01436_d_0000004.jpg,adaptive,20,small,10966,264.0,312.0,16.0,1,1,1,1,0.7425907850265503,0.7408125996589661,0.613035261631012,0.12941746413707733,0.5726760625839233
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,2939,316.0,236.0,8.0,0,0,1,1,0.2671744227409363,0.2041347324848175,0.00109557353425771,2.395091996731935e-06,1.0312479389540385e-05
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,2940,324.0,236.0,8.0,0,0,1,1,0.4320746064186096,0.3778804540634155,0.0017680469900369644,0.00012242596130818129,0.0005271260160952806
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3039,316.0,244.0,8.0,0,0,1,1,0.4942530393600464,0.48502641916275024,0.15362225472927094,0.0051029277965426445,0.021971533074975014
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3040,324.0,244.0,8.0,1,1,1,1,0.7810637950897217,0.7785288691520691,0.3159317374229431,0.1251540631055832,0.5388723611831665
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3139,316.0,252.0,8.0,0,0,1,1,0.3762386739253998,0.3594992160797119,0.15478891134262085,0.0008492931956425309,0.00365677778609097
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3140,324.0,252.0,8.0,1,1,1,1,0.8268402814865112,0.8266544342041016,0.28527510166168213,0.17044173181056976,0.7338661551475525
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3239,316.0,260.0,8.0,0,0,1,1,0.6477239727973938,0.64401775598526,0.09463970363140106,0.02194945514202118,0.09450715035200119
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3240,324.0,260.0,8.0,1,1,1,1,0.8656061887741089,0.8654040694236755,0.22894378006458282,0.2009916454553604,0.8654040694236755
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3339,316.0,268.0,8.0,0,0,1,1,0.7099766731262207,0.7051844000816345,0.006665239576250315,0.010039777494966984,0.043227989226579666
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3340,324.0,268.0,8.0,1,1,1,1,0.7686736583709717,0.762997567653656,0.06554978340864182,0.050515491515398026,0.2175031304359436
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,3440,324.0,276.0,8.0,0,0,1,1,0.39861780405044556,0.34681105613708496,4.7382080083480105e-05,1.1977458598266821e-05,5.157100531505421e-05
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,10770,328.0,248.0,16.0,1,1,1,1,0.6441710591316223,0.6386004090309143,0.08057381212711334,0.019251832738518715,0.08289207518100739
images/train/0000084_01436_d_0000004.jpg,adaptive,21,small,10820,328.0,264.0,16.0,1,1,1,1,0.6991304159164429,0.6947726607322693,0.02496689185500145,0.017772093415260315,0.07652080059051514
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3433,268.0,276.0,8.0,0,0,1,1,0.23400026559829712,0.1580716371536255,0.00045753849553875625,3.3368564800184686e-07,1.3668431165569928e-05
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3434,276.0,276.0,8.0,1,1,1,1,0.618364155292511,0.5975774526596069,0.016234872862696648,0.005802159197628498,0.23766803741455078
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3435,284.0,276.0,8.0,1,1,1,1,0.6129820346832275,0.5992196798324585,0.042508646845817566,0.009544541127979755,0.39096352458000183
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3436,292.0,276.0,8.0,0,0,1,1,0.5212958455085754,0.5005675554275513,0.0009496178827248514,0.0004847866075579077,0.019857829436659813
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3534,276.0,284.0,8.0,1,1,1,1,0.7232477068901062,0.7173432111740112,0.004715233109891415,0.009356501512229443,0.3832610249519348
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3535,284.0,284.0,8.0,1,1,1,1,0.6408261060714722,0.6301478147506714,0.04622434452176094,0.013461392372846603,0.5514055490493774
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3536,292.0,284.0,8.0,0,0,1,1,0.5869513750076294,0.5724197030067444,0.005297656636685133,0.0025605270639061928,0.1048843115568161
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3634,276.0,292.0,8.0,1,1,1,1,0.7353553175926208,0.7312199473381042,0.001832769368775189,0.006543982308357954,0.2680546045303345
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3635,284.0,292.0,8.0,1,1,1,1,0.6932330131530762,0.6861171722412109,0.029278859496116638,0.017851175740361214,0.7312198877334595
images/train/0000084_01436_d_0000004.jpg,adaptive,22,small,3636,292.0,292.0,8.0,0,0,1,1,0.6111299395561218,0.5988805890083313,0.0034273883793503046,0.002700990531593561,0.11063797026872635
