phase,assigner_call,sample_index,gt_index,area_px,area_bin,positive_count
train,2,1,39,695.2701416015625,small,10
train,2,1,40,527.8186645507812,small,8
train,2,1,41,192.30567932128906,small,3
train,2,1,42,165.263427734375,small,4
train,2,1,43,110.17157745361328,small,1
train,2,1,44,83.46844482421875,small,0
train,2,1,45,103.66609191894531,small,1
train,2,1,46,108.50563049316406,small,2
train,2,1,47,91.14437866210938,small,2
train,2,1,48,104.16532897949219,small,2
train,2,1,49,358.2374572753906,small,4
train,2,1,50,57.092002868652344,small,4
train,2,1,51,69.77658081054688,small,2
train,2,1,52,66.6038818359375,small,1
train,2,1,53,59.59212112426758,small,1
train,2,1,54,73.61145782470703,small,0
train,2,1,55,300.4714660644531,small,1
train,2,1,56,300.4731140136719,small,2
train,2,1,57,286.4512939453125,small,3
train,2,1,58,283.7828674316406,small,1
train,2,1,59,217.01405334472656,small,3
train,2,1,60,180.287109375,small,3
train,2,1,61,165.26370239257812,small,1
train,2,1,62,139.0554962158203,small,1
train,2,1,63,128.20379638671875,small,0
train,2,1,64,139.0554962158203,small,1
train,2,1,65,153.24427795410156,small,3
train,2,1,66,112.68224334716797,small,0
train,2,1,67,109.50700378417969,small,1
train,2,1,68,92.64850616455078,small,2
train,2,1,69,87.63800048828125,small,2
train,2,1,70,91.97976684570312,small,2
train,2,1,71,98.32563781738281,small,1
train,2,1,72,69.77658081054688,small,2
train,2,1,73,66.6038818359375,small,0
train,2,1,74,319.00994873046875,small,7
train,2,1,75,66.6038818359375,small,1
train,2,1,76,63.43687438964844,small,1
train,2,1,77,176.28579711914062,small,3
train,2,1,78,157.7471466064453,small,3
train,2,1,79,135.21241760253906,small,4
train,2,1,80,99.82563018798828,small,0
train,2,1,81,88.13835906982422,small,3
train,2,1,82,95.4853286743164,small,0
train,2,1,83,101.65773010253906,small,2
train,2,1,84,66.10414123535156,small,0
train,2,1,85,105.1673812866211,small,2
train,2,1,86,136.88479614257812,small,3
train,2,1,87,66.6038818359375,small,2
train,2,1,88,66.10369873046875,small,1
train,2,1,89,47.575958251953125,small,2
train,2,1,90,42.733001708984375,small,1
train,2,1,91,42.733001708984375,small,1
train,2,1,92,45.071624755859375,small,0
train,2,1,93,35.052974700927734,small,1
train,2,1,94,34.719913482666016,small,1
train,2,1,95,32.54951477050781,small,1
train,2,1,96,188.7956085205078,small,5
train,2,1,97,42.56654739379883,small,0
train,2,1,98,53.41984176635742,small,1
train,2,1,99,44.404136657714844,small,3
train,2,1,100,40.0612907409668,small,1
train,2,1,101,66.6038818359375,small,2
train,2,1,102,42.06643295288086,small,2
train,2,1,103,34.720237731933594,small,0
train,2,1,104,42.06608200073242,small,3
train,2,1,105,30.382356643676758,small,0
train,2,1,106,32.04875183105469,small,0
train,2,1,107,32.54951477050781,small,1
train,2,1,108,32.549190521240234,small,0
train,2,1,109,30.045331954956055,small,1
train,2,1,110,23.8713321685791,small,0
train,2,1,111,30.045331954956055,small,1
train,2,1,112,240.38577270507812,small,6
train,2,1,113,184.78895568847656,small,5
train,2,1,114,93.48113250732422,small,2
train,2,1,115,30.382356643676758,small,1
train,2,1,116,26.04210662841797,small,0
train,2,1,117,30.382356643676758,small,1
train,2,1,118,28.211957931518555,small,0
train,2,1,119,22.034589767456055,small,0
train,2,1,120,22.03431510925293,small,0
train,2,1,121,26.04148292541504,small,0
train,2,1,122,28.211957931518555,small,0
train,2,1,123,28.211633682250977,small,1
train,2,1,124,22.034290313720703,small,0
train,2,1,125,20.03087043762207,small,0
train,2,1,126,26.041507720947266,small,1
train,2,1,127,23.871057510375977,small,2
train,2,1,128,24.037761688232422,small,0
train,2,1,129,23.370695114135742,small,0
train,2,1,130,23.8713321685791,small,2
train,2,1,131,30.382356643676758,small,1
train,2,1,132,23.370346069335938,small,0
train,2,1,133,21.700857162475586,small,1
train,2,1,134,174.27845764160156,small,3
train,2,1,135,271.2626953125,small,7
train,2,1,136,208.15963745117188,small,4
train,2,1,137,153.5811767578125,small,2
train,2,1,138,112.17996215820312,small,0
train,2,1,139,145.90005493164062,small,4
train,2,1,140,146.90281677246094,small,2
train,2,1,141,109.50167083740234,small,3
train,2,1,142,117.35238647460938,small,3
train,2,1,143,98.1590805053711,small,1
train,2,1,144,79.46085357666016,small,2
train,2,1,145,85.1279067993164,small,2
train,2,1,146,62.42916488647461,small,0
train,2,1,147,90.1354751586914,small,2
train,2,1,148,86.4725112915039,small,3
train,2,1,149,130.0406036376953,small,4
train,2,1,150,77.61842346191406,small,0
train,2,1,151,87.13922882080078,small,2
train,2,1,152,75.11925506591797,small,1
train,2,1,153,87.6316909790039,small,2
train,2,1,154,51.41325378417969,small,1
train,2,1,155,47.7403678894043,small,0
train,2,1,156,41.729732513427734,small,0
train,2,1,157,62.59422302246094,small,1
train,2,1,158,49.91223907470703,small,1
train,2,1,159,69.4453125,small,2
train,2,1,160,45.5716667175293,small,0
train,2,1,161,45.5716667175293,small,1
train,2,1,162,42.065185546875,small,0
train,2,1,163,40.06413269042969,small,0
train,2,1,164,41.23368453979492,small,1
train,2,1,165,36.72166442871094,small,0
train,2,1,166,42.231590270996094,small,1
train,2,1,167,187.28977966308594,small,2
train,2,1,168,165.09222412109375,small,2
train,2,1,169,92.63963317871094,small,3
train,2,1,170,88.13676452636719,small,4
train,2,1,171,65.10516357421875,small,0
train,2,1,172,99.15752410888672,small,3
train,2,1,173,240.8843536376953,small,4
train,2,1,174,126.86893463134766,small,2
train,2,1,175,77.6246109008789,small,2
train,2,1,176,56.92203140258789,small,0
train,2,1,177,43.398921966552734,small,0
train,2,1,178,65.10474395751953,small,0
train,2,1,179,49.91256332397461,small,2
train,2,1,180,25.538026809692383,small,2
train,2,1,181,36.05754089355469,small,1
train,2,1,182,55.082496643066406,small,4
train,2,1,183,62.09922409057617,small,1
train,2,1,184,50.07929229736328,small,1
train,2,1,185,48.07582473754883,small,0
train,2,1,186,24.040605545043945,small,0
train,2,1,187,24.0404052734375,small,1
